1733,669,645,575,575,528,528,693,
1718,678,654,584,584,538,538,702,
1718,678,654,584,584,538,538,702,
1718,678,654,584,584,538,538,702,
1718,678,654,584,584,538,538,702,
2500,810,669,575,575,528,552,716,
2500,819,678,584,584,538,561,725,
2500,819,678,584,584,538,561,725,
2500,819,678,584,584,538,561,701,
2500,819,678,584,584,538,561,725,
1612,1636,668,575,598,528,552,716,
1597,1621,678,584,584,538,561,725,
1597,1621,678,584,607,538,538,725,
1597,1621,678,584,607,538,561,701,
1597,1621,678,584,607,538,561,725,
809,2500,833,598,598,528,552,715,
818,2500,842,607,607,538,561,724,
818,2500,842,607,607,538,561,724,
818,2500,842,607,607,538,561,724,
818,2500,842,607,607,538,561,724,
786,1400,1685,598,598,528,552,715,
795,1385,1646,607,607,538,561,724,
795,1385,1646,607,607,538,561,724,
795,1385,1646,607,607,538,561,724,
795,1385,1646,607,607,538,561,724,
762,714,2500,714,598,551,551,714,
771,723,2500,723,607,560,560,723,
771,723,2500,723,607,560,560,723,
771,723,2500,723,607,560,560,723,
771,723,2500,723,607,560,560,723,
784,737,1377,1353,621,551,551,737,
793,746,1361,1338,630,560,584,746,
793,746,1361,1338,630,560,584,746,
794,746,1361,1338,630,560,560,746,
793,746,1361,1338,630,560,584,746,
761,713,737,1994,713,551,551,737,
770,723,746,1979,723,560,560,746,
770,723,746,1979,723,560,560,746,
770,723,746,1979,723,560,560,746,
770,723,746,1979,723,560,560,746,
784,736,736,1258,1282,574,574,736,
793,745,745,1220,1267,583,583,745,
793,745,745,1220,1267,583,583,745,
793,745,745,1220,1267,583,583,745,
793,745,745,1220,1267,583,583,745,
784,736,713,666,1923,713,597,760,
793,745,722,675,1908,722,606,769,
793,745,722,675,1908,722,606,769,
793,745,722,675,1908,722,606,769,
793,745,722,675,1908,722,606,769,
783,736,713,643,1282,1353,597,760,
792,745,722,652,1290,1362,606,769,
792,745,722,652,1290,1362,606,769,
792,745,722,652,1290,1362,606,769,
792,745,722,652,1290,1362,606,769,
783,736,712,643,689,2401,759,783,
792,745,721,652,698,2410,768,792,
792,745,721,652,698,2410,768,792,
792,745,721,652,698,2410,745,792,
792,745,721,652,698,2410,768,792,
783,736,712,620,666,1211,1425,806,
792,745,722,629,675,1220,1433,815,
792,745,722,629,675,1220,1433,792,
792,745,722,629,675,1220,1433,815,
792,745,722,629,675,1220,1433,792,
784,737,713,620,643,620,2259,1020,
793,746,722,629,652,629,2268,1029,
793,746,722,629,652,629,2268,1029,
793,746,722,629,652,629,2268,1029,
793,746,722,629,652,629,2268,1029,
784,737,713,620,643,620,1141,2141,
793,746,722,629,652,629,1124,2149,
793,746,722,629,652,629,1124,2149,
793,746,722,629,652,629,1124,2149,
793,746,722,629,652,629,1124,2149,
762,714,691,620,644,597,620,2500,
771,723,700,629,653,606,629,2500,
771,723,700,629,653,606,629,2500,
771,723,700,629,653,606,629,2500,
771,723,700,629,653,606,629,2500,
762,714,691,620,620,597,597,1497,
771,724,700,630,630,606,606,1481,
771,724,700,630,630,606,606,1481,
771,724,700,630,630,606,606,1481,
771,724,700,630,630,606,606,1481,
